STUDY_ID;MODEL_TYPE;CELL;CANCER_DISEASE;SITE;T0_cells;BASELINE_mL;AGE;SEX_1_female;BACKGROUND;STRAIN;EUTHANIZED;tf_days;N_mice;BASELINE_days;BASELINE_differential;FIG;HR;HR_LB;HR_UB;MedS;MedSD;MeanS;MeanSD;TREATMENT_1;TREATMENT_2;TREATMENT_3;TREATMENT_4;TREAT_START_1;TREAT_START_2;TREAT_START_3;TREAT_START_4;FREQ_1;FREQ_2;FREQ_3;FREQ_4;DOSE_1;DOSE_2;DOSE_3;DOSE_4;AGENT_1;AGENT_2;AGENT_3;AGENT_4;ROUTE_1;ROUTE_2;ROUTE_3;ROUTE_4;SIGNIFICANT
Agarwalla_2012;SyMM;GL261;Glioblastoma;OT;0,075;NA;YOUNG;ND;C57BL/6;WT;OTHER;50;10;3;0;1a;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9H10;NA;NA;NA;IP;NA;NA;NA;1
Agarwalla_2012;SyMM;GL261;Glioblastoma;OT;0,075;NA;YOUNG;ND;C57BL/6;WT;OTHER;50;10;3;0;1a;;;;26;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agarwalla_2012;SyMM;GL261;Glioblastoma;OT;0,075;NA;YOUNG;ND;C57BL/6;WT;OTHER;40;8;12;0;1b;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Agarwalla_2012;SyMM;GL261;Glioblastoma;OT;0,075;NA;YOUNG;ND;C57BL/6;WT;OTHER;40;10;12;0;1b;;;;;;;;antiCTLA4;NA;NA;NA;9;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9H10;NA;NA;NA;IP;NA;NA;NA;0
Agarwalla_2012;SyMM;GL261;Glioblastoma;OT;0,075;NA;YOUNG;ND;C57BL/6;WT;OTHER;80;10;3;0;3;;;;;;;;GVAX;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;1;0;0;0;GL261GMCSF;NA;NA;NA;SC;NA;NA;NA;1
Agarwalla_2012;SyMM;GL261;Glioblastoma;OT;0,075;NA;YOUNG;ND;C57BL/6;WT;OTHER;80;9;3;0;3;;;;;;;;antiCTLA4;GVAX;NA;NA;9;0;0;0;Q3Dx3;Q3Dx3;NA;NA;5;1;0;0;9H10;GL261GMCSF;;NA;IP;SC;NA;NA;1
Ali_2015;SyMM;B16F10;Melanoma;SC;0,1;NA;YOUNG;1;C57BL/6;WT;>1;70;24;3;0;1c;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ali_2015;SyMM;B16F10;Melanoma;SC;0,1;NA;YOUNG;1;C57BL/6;WT;>1;70;24;9;0;1c;;;;;;;;PLGVacc;NA;NA;NA;0;0;0;0;Q1Dx1;NA;NA;NA;0,5;0;0;0;PLGVacc;NA;NA;NA;SC;NA;NA;NA;NA
Ali_2015;SyMM;B16F10;Melanoma;SC;0,1;NA;YOUNG;1;C57BL/6;WT;>1;70;24;3;0;1c;;;;;;;;antiCTLA4;PLGVacc;NA;NA;0;6;0;0;Q3Dx10;Q1Dx1;NA;NA;5;0,5;0;0;9D9;PLGVacc;NA;NA;IP;SC;NA;NA;NA
Ali_2015;SyMM;B16F10;Melanoma;SC;0,1;NA;YOUNG;1;C57BL/6;WT;>1;70;24;3;0;1c;;;;;;;;antiPD1;PLGVacc;NA;NA;0;6;0;0;Q3Dx10;Q1Dx1;NA;NA;5;0,5;0;0;RMP1-14;PLGVacc;NA;NA;IP;SC;NA;NA;NA
Ali_2015;SyMM;B16F10;Melanoma;SC;0,1;NA;YOUNG;1;C57BL/6;WT;>1;40;10;3;0;SF1b;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Ali_2015;SyMM;B16F10;Melanoma;SC;0,1;NA;YOUNG;1;C57BL/6;WT;>1;40;10;3;0;SF1b;;;;;;;;antiPD1;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;NA
Ali_2015;SyMM;B16F10;Melanoma;SC;0,1;NA;YOUNG;1;C57BL/6;WT;>1;40;10;3;0;SF1b;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx3;NA;NA;NA;5;0;0;0;9D9;NA;NA;NA;IP;NA;NA;NA;NA
Allard_2013;SyMM;4T12;Breast cancer;OT;0,05;NA;NA;1;BALB/c;WT;NA;80;10;28;0;3;;;;46,5;;;;antiCD73;NA;NA;NA;0;0;0;0;Q3Dx4;NA;NA;NA;5;0;0;0;TY/23;NA;NA;NA;IP;NA;NA;NA;NA
Allard_2013;SyMM;4T12;Breast cancer;OT;0,05;NA;NA;1;BALB/c;WT;NA;80;10;28;0;3;;;;70;;;;antiPD1;antiCD73;NA;NA;0;0;0;0;Q3Dx4;Q3Dx4;NA;NA;5;5;0;0;TY/23;RMP1-14;NA;NA;IP;IP;NA;NA;1
Allard_2013;SyMM;4T12;Breast cancer;OT;0,05;NA;NA;1;BALB/c;WT;NA;80;10;28;0;3;;;;63;;;;antiCTLA4;antiCD73;NA;NA;0;0;0;0;Q3Dx4;Q3Dx4;NA;NA;5;5;0;0;UC10-4F10;TY/23;NA;NA;IP;IP;NA;NA;1
Allard_2013;SyMM;4T12;Breast cancer;OT;0,05;NA;NA;1;BALB/c;WT;NA;80;10;28;0;3;;;;36;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;ND
Allard_2013;SyMM;4T12;Breast cancer;OT;0,05;NA;NA;1;BALB/c;WT;NA;80;10;28;0;3;;;;49;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q3Dx4;NA;NA;NA;5;0;0;0;UC10-4F10;NA;NA;NA;IP;NA;NA;NA;ND
Allard_2013;SyMM;4T12;Breast cancer;OT;0,05;NA;NA;1;BALB/c;WT;NA;80;10;28;0;3;;;;55;;;;antiPD1;NA;NA;NA;0;0;0;0;Q3Dx4;NA;NA;NA;5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;ND
Bald_2014;SyMM;HCmel3;Melanoma;Icu;0,4;NA;NA;ND;C57BL/6;WT;>20mm;210;10;24;0;6f;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Bald_2014;SyMM;HCmel3;Melanoma;Icu;0,4;NA;NA;ND;C57BL/6;WT;>20mm;210;10;24;0;6f;;;;;;97;13;polyIC;NA;NA;NA;0;0;0;0;Q4Dx20;NA;NA;NA;2,5;0;0;0;polyIC;NA;NA;NA;PT;NA;NA;NA;0
Bald_2014;SyMM;HCmel3;Melanoma;Icu;0,4;NA;NA;ND;C57BL/6;WT;>20mm;210;10;24;0;6f;;;;;;;;antiPD1;NA;NA;NA;0;0;0;0;Q4Dx20;NA;NA;NA;12,5;0;0;0;RMP1-14;NA;NA;NA;IP;NA;NA;NA;0
Bald_2014;SyMM;HCmel3;Melanoma;Icu;0,4;NA;NA;ND;C57BL/6;WT;>20mm;210;10;24;0;6f;;;;;;126;16;antiPD1;polyIC;NA;NA;0;0;0;0;Q4Dx20;Q4Dx20;NA;NA;12,5;2,5;0;0;RMP1-14;polyIC;NA;NA;IP;PT;NA;NA;1
Beavis_2018;SyMM;AT3OVACD73;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;>0,5;100;9;14;14;1b;;;;;;;;Control;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA
Beavis_2018;SyMM;AT3OVACD73;Breast cancer;SC;0,5;NA;YOUNG;1;C57BL/6;WT;>0,5;100;9;14;14;1b;;;;;;;;antiCTLA4;NA;NA;NA;0;0;0;0;Q2Dx4;NA;NA;NA;7,5;0;0;0;9D9;NA;NA;NA;IP;NA;NA;NA;ND
