Name;Descritption;Target;Dosing_Units;Type of therapy
A2ARi;Small molecule inhibitor of the adenosine A2A Receptor;A2AR;mg/kg;Targeted therapy
Ad5IiGP;Vaccine using replication deficient E1-deleted Ad5 vector with a non-functiona E3 gene expressing GP LCMV liked to the mure invariant chain Ii;APCs;10^6 PFU;Immunotherapy
ADT;Androgen depravation therapy;Androgen;mg/kg;Targeted therapy
aFP;Ablative fractional photothermolysis;Tumor cells;mJ;Photothermolysis
ALDHhighDC;Vaccine using ALDH-high expressing cancer stem cells lysed and given with DC;APCs;10^6 cells;Immunotherapy
ALDHlowDC;Vaccine using ALDH-low tumor cells lysed and given with DCs;APCs;10^6 cells;Immunotherapy
alphaGalCerVacc;Vaccination with irradiated tumor cells previously loaded with alpha-GalCer;NK cells;10^6 cells;Immunotherapy
ALT803;IL-15 superagonist variant IL-1572ND in a complex with a human IL-15Ralpha sushi domain-Fc fusion protein;T-cells;mg/kg;Cytokine
anti41BB;4-1BB agonist;4-1BB;mg/kg;Immunotherapy
antiBeta8;alpha-nu-beta-8 integrin antagonist;alpha-nu-beta-8 integrin;mg/kg;Immunotherapy
antiCD19;Depletion of B-cells (CD19+);CD19+ B-cells;mg/kg;Targeted therapy
antiCD226;Systemic administration of CD226 antagonist mAb ;CD226;mg/kg;Immunotherapy
antiCD25;Depletion of Tregs (CD25+);CD25+ Tregs;mg/kg;Targeted therapy
antiCD4;Depletion of CD4+ T-cells;CD4+ T-cells;mg/kg;Targeted therapy
antiCD40;Systemic administration of CD40 agonist mAb;CD40;mg/kg;Immunotherapy
antiCD47;Systemic admiistration of CD47 antagonist mAb;CD47;mg/kg;Immunotherapy
antiCD73;Systemic admiistration of CD473 antagonist mAb;CD73;mg/kg;Immunotherapy
antiCTLA4;CTLA-4 antagonist;CTLA-4;mg/kg;ICB
antiCTLA4GVAX;CTLA-4 antagonist locally secreted by a GVAX;CTLA-4;10^6 cells;Vaccine+ICB
antiCTLA4PIGF2;anti-CTLA-4 antibody conjugated to an ECM-super affinity peptide derived from placenta growth factor-2 (PIGF-2_123-144);anti-CTLA-4;mg/kg;ICB
antiDEC205HER2;Vaccine using an anti-DEC-205/HER2 mAb and poly(I:C) as adjuvant;Tumor cells, APCs;mg/kg;Immunotherapy
antiGITR;Systemic administration of GITR antagonist mAb;GITR;mg/kg;ICB
antiHER2;Systemic administration of HER-2 antagonist mAb;HER-2;mg/kg;Targeted therapy
antiICAM2;Systemic administration of ICAM-2 antagonist mAb;ICAM-2;mg/kg;Immunotherapy
antiIL4;Systemic administration of IL-4 antagonist mAb;IL-4;mg/kg;Immunotherapy
antiLAG3;Systemic administration of LAG-3 antagonist mAb;LAG-3;mg/kg;ICB
antiLy6G;Systemic administration of Ly6G antagonist mAb;Ly6G;mg/kg;Immunotherapy
antiOX40;Systemic administration of OX-40 agonist mAb;OX-40;mg/kg;Immunotherapy
antiPD1;Systemic administration of PD-1 antagonist mAb;PD-1;mg/kg;ICB
antiPD1NP;anti-PD-1 nanoparticles;PD-1;mg/kg;ICB
antiPD1TGFR1iNP;PD-1 targeted nanoparticles carryng a TGF-beta receptor 1 inhibitor;PD-1, TGF-betaR1;mg/kg;Immunotherapy
antiPD1TLR78NP;PD-1 targeted nanoparticles carrying a TLR7/8 agonist;PD-1, TLR7/8;mg/kg;Immunotherapy
antiPDL1;Systemic administration of PD-L1 antagonist mAb;PD-L1;mg/kg;ICB
antiPDL1131I;Radioimmunotherapy with an anti-PD-L1 mAb radiolabeled with iodine-131;Tumor cells;mg/kg;Radioimmunotherapy
antiPDL1PIGF2;anti-PD-1 antibody conjugated to an ECM-super affinity peptide derived from placenta growth factor-2 (PIGF-2_123-144);anti-PD-1;mg/kg;ICB
antiPDL2;Systemic administration of PD-L2 antagonist mAb;PD-L2;mg/kg;ICB
antiSEMA4D;Systemic administration of SEMA-4D antagonist mAb;Semaphorin 4D;mg/kg;Immunotherapy
antiTGFbeta;Systemic administration of TGF-beta antagonist mAb;TGF-Beta;mg/kg;Immunotherapy
antiTIGIT;Systemic administration of TIGIT antagonist mAb;TIGIT;mg/kg;ICB
antiTIM3;Systemic administration of TIM-3 antagonist mAb;TIM-3;mg/kg;ICB
antiVEGF;Systemic administration of VEGF antagonist mAb;VEGF;mg/kg;Targeted therapy
Axitinib;Tyrosine kinase inhibitor;VEGFR-1, -2, -3;mg/kg;Targeted therapy
AXLi;Inhibition of the receptor tyrosine kinase AXL;AXL;mg/kg;Targeted therapy
BRAFi;BRAF inhibition;BRAF;mg/kg;Targeted therapy
Carmustine;Systemic administration of chemotherapeutic agent Carmustine;Tumor cells;mg/kg;Chemotherapy
CD80CD137Vacc;Vaccine unsing irradiated tumor cells transfected to express CD80 and CD137 ligand;APCs;10^6 cells;Immunotherapy
CDK46i;Inhibtion of cyclin-dependent kinases 4 and 6;Tumor cells;mg/kg;Targeted therapy
CFSRi;CSF-R kinase inhibitor;CFS-R;ppm;Immunotherapy
Cisplatin;Systemic administration of chemotherapeutic agent cisplatin;Tumor cells, APCs;mg/m^2;Chemotherapy
Cryotherapy;Cryotherapy;Tumor;;Cryotherapy
Cyclophosphamide;Systemic administration of chemotherapeutic agent Cyclophosphamide;Tumor cells;mg/kg;Chemotherapy
D24RGDOX;Oncolytic adenovirus expressing OX40 ligand;Tumor cells, APCs;10^6 PFU;Virotherapy
Dexamethasone;Corticosteroid treatment meant to alleviate immune-related adverse effects of IT;-;mg/kg;Corticosteroid
Diet;Protein-restricted diet;Tumor associated macrophages;mg/kg;Diet
DNMTi;DNA methyltransferase inhibitor;;mg/kg;Epigenetic therapy
