"","STUDY_ID","CANCER","N_ITT","N_mAb","TREATMENT_1","TREATMENT_2","TREATMENT_3","CONTROL","AGENT_1","AGENT_2","AGENT_3","OS_HR","OS_HR_LB","OS_HR_UB","PFS_HR","PFS_HR_LB","PFS_HR_UB","MOS","MOS_LB","MOS_UB","MOS_Control","MOS_LB_Control","MOS_UB_Control","PFS","PFS_LB","PFS_UB","PFS_Control","PFS_Control_LB","PFS_Control_UB","DOSE_1","DOSE_2","PHASE","STUDY_NAME","MASK","SOURCE","NCT.Number","INCLUDED","Treatments","mAb","OS_MR","PFS_MR","HR","SE_coef","PFS_SE","antiCTLA4","antiPD1","antiPDL1","antiVEGF","Axitinib","BRAFi","Chemotherapy","gp100","IDOi","MEKi","Radiotherapy"
"2","Antonia_2018","NSCLC",713,473,"antiPDL1",NA,NA,"Placebo","Durvalumab",NA,NA,0.68,0.47,0.997,-0.673344553263766,0.41,0.63,42,34.7,NA,28.7,22.9,NA,17.2,NA,NA,5.6,NA,NA,"","","3","PACIFIC","Double-blinded","NCT","NCT02125461","IN","antiPDL1","Durvalumab",-0.380772495517793,-1.1221427860783,-0.385662480811985,0.195237246607613,0.107812743159561,0,0,1,0,0,0,0,0,0,0,0
"8","Bang_2018","GC/GEJC",371,185,"antiPDL1",NA,NA,"Chemotherapy","Avelumab",NA,NA,1.1,0.9,1.4,0.548121408509688,1.4,2.2,4.6,3.6,5.7,5,4.5,6.3,1.4,1.4,1.5,2.7,1.8,2.8,"10","","3","JAVELIN Gastric 300","Open-label","NCT","NCT02625623","IN","antiPDL1","Avelumab",0.0833816089390512,0.656779536389071,0.0953101798043249,0.123044126687604,0.122622636819004,0,0,1,0,0,0,0,0,0,0,0
"10","Barlesi_2018","NSCLC",792,396,"antiPDL1",NA,NA,"Docetaxel","Avelumab",NA,NA,0.9,0.72,1.12,0.157003748809665,0.98,1.41,11.4,9.4,13.9,10.3,8.5,13,2.8,2.7,3.5,4.2,3.3,5.2,"10",NA,"3","JAVELIN Lung 200","Open-label","NCT","NCT02395172","IN","antiPDL1","Avelumab",-0.10146946016486,0.405465108108165,-0.105360515657826,0.111578173216356,0.095198665410272,0,0,1,0,0,0,0,0,0,0,0
"11","Beer_2017","MCRPC",602,400,"antiCTLA4",NA,NA,NA,"Ipilimumab",NA,NA,1.11,0.88,1.39,-0.400477566597125,0.55,0.81,28.7,24.5,32.5,29.7,26.1,34.2,5.6,5.3,6.3,3.8,2.8,4.1,"10","","3","CA184-095","Double-blinded","PubMed","NCT01057810","IN","antiCTLA4","Ipilimumab",0.0342499230430784,-0.387765531008763,0.104360015324243,0.114769319024576,0.0968163378400053,1,0,0,0,0,0,0,0,0,0,0
"14","Bellmunt_2017","MUC",542,270,"antiPD1",NA,NA,"Chemotherapy","Pembrolizumab",NA,NA,0.73,0.59,0.91,-0.0202027073175195,0.81,1.19,10.3,8,11.8,7.4,6.1,8.3,2.1,2,2.2,3.3,2.3,3.5,"","","3","KEYNOTE-045","Open-label","PubMed","NCT02256436","IN","antiPD1","Pembrolizumab",-0.330663895025466,0.451985123743057,-0.3147107448397,0.112451079258061,0.099061011310634,0,1,0,0,0,0,0,0,0,0,0
"15","Borghaei_2015","NSCLC",582,292,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,0.73,0.59,0.89,-0.083381608939051,0.77,1.1,12.2,9.7,15,9.4,8.1,10.7,2.3,2.2,3.3,4.2,3.5,4.9,"3",NA,"3","Checkmate 057","Open-label","PubMed","NCT01673867","IN","antiPD1","Nivolumab",-0.260726262463253,0.602175402354219,-0.3147107448397,0.101112535815425,0.0911709552588078,0,1,0,0,0,0,0,0,0,0,0
"17","Brahmer_2015","NSCLC",272,135,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,0.59,0.44,0.79,-0.478035800943,0.47,0.81,9.2,7.3,13.3,6,5.1,7.3,3.5,2.1,4.9,2.8,2.1,3.5,"3",NA,"3","Checkmate 017","Open-label","PubMed","NCT01642004","IN","antiPD1","Nivolumab",-0.42744401482694,-0.22314355131421,-0.527632742082372,0.14893661866435,0.136387592698586,0,1,0,0,0,0,0,0,0,0,0
"20","Burtness_2018","HNSCC",882,301,"antiPD1",NA,NA,"antiEGFR","Pembrolizumab",NA,NA,0.78,0.64,0.96,NA,NA,NA,12.3,NA,NA,10.3,NA,NA,NA,NA,NA,NA,NA,NA,"200","","3","KEYNOTE-048","Open-label","PubMed","NCT02358031","IN","antiPD1","Pembrolizumab",-0.177455367142782,NA,-0.2484613592985,0.105940398097147,NA,0,1,0,0,0,0,0,0,0,0,0
"21","Burtness_2018","HNSCC",882,281,"antiPD1","Chemotherapy",NA,"antiEGFR","Pembrolizumab","ICC",NA,0.77,0.63,0.93,-0.0725706928348354,0.78,1.11,13,NA,NA,10.3,NA,NA,4.9,4.7,6.1,5.2,4.9,6.1,"200","","3","KEYNOTE-048","Open-label","PubMed","NCT02358031","IN","antiPD1_Chemotherapy","Pembrolizumab_ICC",-0.232805462225947,0.0594234204708008,-0.261364764134408,0.0963252757646343,0.0902724282459704,0,1,0,0,0,0,1,0,0,0,0
"22","Carbone_2017","NSCLC",541,271,"antiPD1",NA,NA,"Chemotherapy","Nivolumab",NA,NA,1.02,0.8,1.3,0.139761942375159,0.91,1.45,14.4,11.7,17.4,13.2,10.7,17.1,4.2,3,5.6,5.9,5.4,6.9,"","","3","Checkmate 026","Open-label","NCT","NCT02041533","IN","antiPD1","Nivolumab",-0.0870113769896298,0.339867825622351,0.0198026272961797,0.123758211418478,0.118268302828902,0,1,0,0,0,0,0,0,0,0,0
"24","Chen_2020","GC/GEJC",493,330,"antiPD1",NA,NA,"Placebo","Nivolumab",NA,NA,0.62,0.51,0.76,-0.510825623765991,0.49,0.75,5.26,4.6,6.37,4.15,3.42,4.86,1.61,1.54,2.3,1.45,1.45,1.54,"3","","3","ATTRACTION-2","Double-blinded","PubMed","","IN","antiPD1","Nivolumab",-0.237022692507011,-0.104670622563889,-0.478035800943,0.103878926779881,0.113850842706467,0,1,0,0,0,0,0,0,0,0,0
"27","Cohen_2019","HNSCC",495,247,"antiPD1",NA,NA,"SOC","Pembrolizumab",NA,NA,0.8,0.65,0.98,-0.0408219945202552,0.79,1.16,8.4,6.4,9.4,6.9,5.9,8,2.1,2.1,2.3,2.3,2.1,2.8,"","","3","KEYNOTE-040","Open-label","PubMed","NCT02252042","IN","antiPD1","Pembrolizumab",-0.196710294246054,0.0909717782057266,-0.22314355131421,0.103543149566758,0.0965538148309077,0,1,0,0,0,0,0,0,0,0,0
"28","Eggermont_2015","SKCM",834,475,"antiCTLA4",NA,NA,"Placebo","Ipilimumab",NA,NA,0.72,0.58,0.88,-0.287682072451781,0.64,0.9,86.8,86.6,NA,NA,NA,NA,26.09,19.32,39.6,17.05,13.4,21.62,"10","","3","EORTC 18071","Double-blinded","NCT","NCT00636168","IN","antiCTLA4","Ipilimumab",NA,-0.425401895419111,-0.328504066972036,0.102384889235219,0.0930229117637282,1,0,0,0,0,0,0,0,0,0,0
"30","Eng_2019","MCC",383,183,"antiPDL1","MEKi",NA,"Regorafenib","Atezolizumab","Cobimetinib",NA,1,0.73,1.38,0.22314355131421,0.94,1.65,8.87,7,10.61,8.51,6.41,10.71,1.91,1.87,1.97,2,1.87,3.61,"840","60","3","IMblaze370","Open-label","PubMed","NCT02788279","IN","antiPDL1_MEKi","Atezolizumab_Cobimetinib",-0.0414328537362053,0.0460439385014068,0,0.164331335529462,0.141651448081803,0,0,1,0,0,0,0,0,0,1,0
"31","Eng_2019","MCC",383,90,"antiPDL1",NA,NA,"Regorafenib","Atezolizumab",NA,NA,1.19,0.83,1.71,0.3293037471426,1,1.94,7.1,6.05,10.05,8.51,6.41,10.71,1.94,1.91,2.1,2,1.87,3.61,"1200","","3","IMblaze370","Open-label","PubMed","NCT02788279","IN","antiPDL1","Atezolizumab",0.181147158538013,0.0304592074847087,0.173953307123438,0.184972819016472,0.17009711839724,0,0,1,0,0,0,0,0,0,0,0
"35","Ferris_2016","HNSCC",361,240,"antiPD1",NA,NA,"SOC","Nivolumab",NA,NA,0.7,0.51,0.96,-0.116533816255952,0.7,1.13,7.5,5.5,9.1,5.1,4,6,2,1.9,2.1,2.3,1.9,3.1,"3","","3","Checkmate 141","Open-label","PubMed","NCT02105636","IN","antiPD1","Nivolumab",-0.385662480811985,0.139761942375159,-0.356674943938732,0.161152425202649,0.121814202129958,0,1,0,0,0,0,0,0,0,0,0
"39","Ferris_2020","HNSCC",763,240,"antiPDL1",NA,NA,"SOC","Durvalumab",NA,NA,0.88,0.72,1.08,0.0198026272961797,0.84,1.25,7.6,6.1,9.8,8.3,7.3,9.2,2.1,1.9,3,3.7,3.1,3.7,"10","","3","EAGLE","Open-label","NCT","NCT02369874","IN","antiPDL1","Durvalumab",0.088107267510267,0.566395474920801,-0.127833371509885,0.104488865234977,0.103747275777493,0,0,1,0,0,0,0,0,0,0,0
"40","Finn_2020","HCC",413,278,"antiPD1",NA,NA,"Placebo","Pembrolizumab",NA,NA,0.781,0.611,0.998,-0.25489224962879,0.609,0.987,13.9,11.6,16,10.6,8.3,13.5,3,2.8,4.1,2.8,1.6,3,"200","","3","KEYNOTE-240","Double-blinded","PubMed","NCT02702401","IN","antiPD1","Pembrolizumab",-0.271034839018625,-0.0689928714869516,-0.247180129142451,0.125093179469476,0.1233731905216,0,1,0,0,0,0,0,0,0,0,0
"42","Gandhi_2018","NSCLC",616,410,"antiPD1","Chemotherapy",NA,"Chemotherapy","Pembrolizumab","Pemetrexed/Platinum",NA,0.56,0.45,0.7,-0.7339691750802,0.4,0.58,22,19.5,25.2,10.7,8.7,13.6,9,8.1,9.9,4.9,4.7,5.5,"","","3","KEYNOTE-189","Double-blinded","PubMed","NCT02578680","IN","antiPD1_Chemotherapy","Pembrolizumab_Pemetrexed/Platinum",-0.720798711890455,-0.607989372219638,-0.579818495252942,0.113850842706467,0.0965538148309076,0,1,0,0,0,0,1,0,0,0,0
